priority,domain,proxy_domain,category,subcategory,reason
248,freelanceseoexpert.co.uk,freelanceseoexpert.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
249,hospitalitybranding.co.uk,hospitalitybranding.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
250,mailinglist.co.uk,mailinglist.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
251,mailinglists.co.uk,mailinglists.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
252,marketingcopy.co.uk,marketingcopy.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
253,markety.co.uk,markety.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
254,onlinepromotion.co.uk,onlinepromotion.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
255,onlinestrategies.co.uk,onlinestrategies.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
256,promotionals.co.uk,promotionals.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
257,promotionplan.co.uk,promotionplan.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
258,seoinfo.co.uk,seoinfo.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
259,socialinfluenceragency.co.uk,socialinfluenceragency.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
260,squeezepages.co.uk,squeezepages.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
261,topicalauthority.co.uk,topicalauthority.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
262,webrelations.co.uk,webrelations.com,web-digital,marketing,block web-digital/marketing n=85 appraised=6 deficit=0
263,antiquestorage.co.uk,antiquestorage.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
264,businessaudit.co.uk,businessaudit.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
265,businesscarlease.co.uk,businesscarlease.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
266,businessgiftideas.co.uk,businessgiftideas.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
267,businessleasing.co.uk,businessleasing.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
268,commercialclearance.co.uk,commercialclearance.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
269,corporate-identity.co.uk,corporate-identity.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
270,corporateaudit.co.uk,corporateaudit.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
271,corporateaudits.co.uk,corporateaudits.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
272,corporatechristmasgifts.co.uk,corporatechristmasgifts.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
273,corporateidentity.org.uk,corporateidentity.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
274,corporatelogo.co.uk,corporatelogo.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
275,corporatelogos.co.uk,corporatelogos.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
276,corporatemedical.co.uk,corporatemedical.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
277,corporatetravelmanagement.co.uk,corporatetravelmanagement.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
278,corporatexmasgifts.co.uk,corporatexmasgifts.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
279,financeforcompanies.co.uk,financeforcompanies.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
280,leopardconsulting.co.uk,leopardconsulting.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
281,pooleselfstorage.co.uk,pooleselfstorage.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
282,qualitativeanalysis.co.uk,qualitativeanalysis.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
283,quantitativeanalysis.co.uk,quantitativeanalysis.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
284,removalscompanies.co.uk,removalscompanies.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
285,storagecentral.co.uk,storagecentral.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
286,storageunithire.co.uk,storageunithire.com,business-services,general,block business-services/general n=84 appraised=9 deficit=0
287,attictruss.co.uk,attictruss.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
288,brick-cutting.co.uk,brick-cutting.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
289,brickcladdingsystems.co.uk,brickcladdingsystems.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
290,buildingsocietyrates.co.uk,buildingsocietyrates.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
291,commercialconcrete.co.uk,commercialconcrete.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
292,contract-flooring.co.uk,contract-flooring.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
293,curvedstaircases.co.uk,curvedstaircases.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
294,externalcladding.co.uk,externalcladding.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
295,floor-safety.co.uk,floor-safety.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
296,glassbalconies.co.uk,glassbalconies.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
297,liquidfloorscreeding.co.uk,liquidfloorscreeding.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
298,liquidwaterproofing.co.uk,liquidwaterproofing.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
299,prefabricatedbuildings.co.uk,prefabricatedbuildings.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
300,roof-rack.co.uk,roof-rack.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
301,roof-vents.co.uk,roof-vents.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
302,roofingfelt.co.uk,roofingfelt.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
303,roofscaffolding.co.uk,roofscaffolding.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
304,scaffoldingboards.co.uk,scaffoldingboards.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
305,scaffoldingforhire.co.uk,scaffoldingforhire.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
306,scaffoldingsupplier.co.uk,scaffoldingsupplier.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
307,staticsitebuilder.co.uk,staticsitebuilder.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
308,traditionalcarpentry.co.uk,traditionalcarpentry.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
309,venetianplasterers.co.uk,venetianplasterers.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
310,venetianstucco.co.uk,venetianstucco.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
311,ventilatedfacades.co.uk,ventilatedfacades.com,home-garden,building-trades,block home-garden/building-trades n=82 appraised=29 deficit=0
312,businesshealthcare.co.uk,businesshealthcare.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
313,healthcareaward.co.uk,healthcareaward.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
314,healthcaremail.co.uk,healthcaremail.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
315,healthcareservices.org.uk,healthcareservices.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
316,healthcheckups.co.uk,healthcheckups.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
317,healthscare.co.uk,healthscare.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
318,heartonline.co.uk,heartonline.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
319,hometestkits.co.uk,hometestkits.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
320,medicalcamera.co.uk,medicalcamera.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
321,privatehealthcarecost.co.uk,privatehealthcarecost.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
322,privatehealthcareproviders.co.uk,privatehealthcareproviders.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
323,radioligand-therapy.co.uk,radioligand-therapy.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
324,radioligand.co.uk,radioligand.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
325,telomerase.co.uk,telomerase.com,health-medical,general,block health-medical/general n=75 appraised=10 deficit=0
326,doggydna.co.uk,doggydna.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
327,dogramp.co.uk,dogramp.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
328,identitychip.co.uk,identitychip.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
329,pet-healthcare.co.uk,pet-healthcare.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
330,petcartoon.co.uk,petcartoon.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
331,petdna.co.uk,petdna.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
332,petidchip.co.uk,petidchip.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
333,petidchips.co.uk,petidchips.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
334,petidentitychip.co.uk,petidentitychip.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
335,petidentitychips.co.uk,petidentitychips.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
336,petpage.co.uk,petpage.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
337,racehorsedna.co.uk,racehorsedna.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
338,silverlabradors.co.uk,silverlabradors.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
339,vet-prices.co.uk,vet-prices.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
340,vetassistant.co.uk,vetassistant.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
341,veterinaryassistant.co.uk,veterinaryassistant.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
342,veterinaryequipment.co.uk,veterinaryequipment.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
343,veterinaryjob.co.uk,veterinaryjob.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
344,vetmedicines.co.uk,vetmedicines.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
345,vetsy.co.uk,vetsy.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
346,vetzy.co.uk,vetzy.com,pets-vet,general,block pets-vet/general n=68 appraised=5 deficit=0
347,adultchristmas.co.uk,adultchristmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
348,adultchristmaspresents.co.uk,adultchristmaspresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
349,adultxmas.co.uk,adultxmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
350,alternativepresents.co.uk,alternativepresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
351,bigxmas.co.uk,bigxmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
352,businesschristmasgifts.co.uk,businesschristmasgifts.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
353,cheap-presents.co.uk,cheap-presents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
354,christmas-basket.co.uk,christmas-basket.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
355,christmas-baskets.co.uk,christmas-baskets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
356,christmas-presents.co.uk,christmas-presents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
357,christmasbasket.co.uk,christmasbasket.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
358,christmasbaskets.co.uk,christmasbaskets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
359,christmasforpets.co.uk,christmasforpets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
360,christmasgiftideas.co.uk,christmasgiftideas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
361,christmasgiftsforpets.co.uk,christmasgiftsforpets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
362,christmaspresents.co.uk,christmaspresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
363,christmaspresentsforpets.co.uk,christmaspresentsforpets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
364,christmasprezzies.co.uk,christmasprezzies.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
365,easterpresents.co.uk,easterpresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
366,expensivepresents.co.uk,expensivepresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
367,festivepresents.co.uk,festivepresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
368,floristsmanchester.co.uk,floristsmanchester.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
369,foodgifts.co.uk,foodgifts.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
370,forblokes.co.uk,forblokes.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
371,fridge-magnets.co.uk,fridge-magnets.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
372,giftschristmas.co.uk,giftschristmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
373,giftsxmas.co.uk,giftsxmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
374,ivalentines.co.uk,ivalentines.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
375,luxurygifthampers.co.uk,luxurygifthampers.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
376,onlineflowers.org.uk,onlineflowers.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
377,personalgift.co.uk,personalgift.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
378,personalisedchocolate.co.uk,personalisedchocolate.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
379,personaliseddolls.co.uk,personaliseddolls.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
380,petchristmas.co.uk,petchristmas.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
381,petxmasgifts.co.uk,petxmasgifts.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
382,presentideasforher.co.uk,presentideasforher.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
383,presentideasforhim.co.uk,presentideasforhim.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
384,presentsforher.co.uk,presentsforher.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
385,sweetshampers.co.uk,sweetshampers.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
386,valentineschocolates.co.uk,valentineschocolates.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
387,xmasgifts.co.uk,xmasgifts.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
388,xmaspresents.co.uk,xmaspresents.com,consumer-products,gifts,block consumer-products/gifts n=67 appraised=9 deficit=0
389,architectural-glass.co.uk,architectural-glass.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
390,automatic-doors.co.uk,automatic-doors.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
391,campervanwindows.co.uk,campervanwindows.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
392,commercialfiredoors.co.uk,commercialfiredoors.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
393,commercialshutters.co.uk,commercialshutters.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
394,conservatoryroofpanels.co.uk,conservatoryroofpanels.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
395,coredoors.co.uk,coredoors.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
396,door-thresholds.co.uk,door-thresholds.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
397,exterior-doors.co.uk,exterior-doors.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
398,french-door.co.uk,french-door.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
399,indoorstorage.co.uk,indoorstorage.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
400,industrialfiredoors.co.uk,industrialfiredoors.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
401,officeglasspartition.co.uk,officeglasspartition.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
402,officeglasspartitions.co.uk,officeglasspartitions.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
403,sliding-door.co.uk,sliding-door.com,home-garden,windows-doors,block home-garden/windows-doors n=58 appraised=28 deficit=0
404,electricvehiclerentals.co.uk,electricvehiclerentals.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
405,fourwheeldrive.co.uk,fourwheeldrive.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
406,motorbikeequipment.co.uk,motorbikeequipment.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
407,motorhomeconversions.co.uk,motorhomeconversions.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
408,motorhomelife.co.uk,motorhomelife.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
409,motorstorage.co.uk,motorstorage.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
410,offroadcentre.co.uk,offroadcentre.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
411,refrigerated-van.co.uk,refrigerated-van.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
412,selfdrivevehicles.co.uk,selfdrivevehicles.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
413,supercardealers.co.uk,supercardealers.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
414,vehiclefunding.co.uk,vehiclefunding.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
415,vehiclerouting.co.uk,vehiclerouting.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
416,webuyyourmotorcars.co.uk,webuyyourmotorcars.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
417,workvehicles.co.uk,workvehicles.com,automotive,general,block automotive/general n=52 appraised=7 deficit=0
418,alternativetravel.co.uk,alternativetravel.com,travel,general,block travel/general n=50 appraised=12 deficit=0
419,cheapfarefinder.co.uk,cheapfarefinder.com,travel,general,block travel/general n=50 appraised=12 deficit=0
420,cheaptravel.co.uk,cheaptravel.com,travel,general,block travel/general n=50 appraised=12 deficit=0
421,cornwallholidaylet.co.uk,cornwallholidaylet.com,travel,general,block travel/general n=50 appraised=12 deficit=0
422,expensiveholidays.co.uk,expensiveholidays.com,travel,general,block travel/general n=50 appraised=12 deficit=0
423,girlsholidays.co.uk,girlsholidays.com,travel,general,block travel/general n=50 appraised=12 deficit=0
424,holiday-let-cornwall.co.uk,holiday-let-cornwall.com,travel,general,block travel/general n=50 appraised=12 deficit=0
425,holiday-lets-cornwall.co.uk,holiday-lets-cornwall.com,travel,general,block travel/general n=50 appraised=12 deficit=0
426,holidayletcornwall.co.uk,holidayletcornwall.com,travel,general,block travel/general n=50 appraised=12 deficit=0
427,holidayletsincornwall.co.uk,holidayletsincornwall.com,travel,general,block travel/general n=50 appraised=12 deficit=0
428,holidayletspadstow.co.uk,holidayletspadstow.com,travel,general,block travel/general n=50 appraised=12 deficit=0
429,holidayworld.co.uk,holidayworld.com,travel,general,block travel/general n=50 appraised=12 deficit=0
430,hotelassetmanagement.co.uk,hotelassetmanagement.com,travel,general,block travel/general n=50 appraised=12 deficit=0
431,netfares.co.uk,netfares.com,travel,general,block travel/general n=50 appraised=12 deficit=0
432,railjourneys.co.uk,railjourneys.com,travel,general,block travel/general n=50 appraised=12 deficit=0
433,studentstravel.co.uk,studentstravel.com,travel,general,block travel/general n=50 appraised=12 deficit=0
434,cyclingjacket.co.uk,cyclingjacket.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
435,fishingtackle.org.uk,fishingtackle.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
436,fitness-videos.co.uk,fitness-videos.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
437,footballcommentator.co.uk,footballcommentator.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
438,girlsvolleyball.co.uk,girlsvolleyball.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
439,inflatableparks.co.uk,inflatableparks.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
440,motorsportsimulators.co.uk,motorsportsimulators.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
441,pistes.co.uk,pistes.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
442,racketstrings.co.uk,racketstrings.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
443,skisocks.co.uk,skisocks.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
444,staticcaravantransport.co.uk,staticcaravantransport.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
445,tennisequipment.co.uk,tennisequipment.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
446,womens-fitness.co.uk,womens-fitness.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
447,womenscycling.co.uk,womenscycling.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
448,womensvolleyball.co.uk,womensvolleyball.com,sports-leisure,general,block sports-leisure/general n=49 appraised=12 deficit=0
449,3dhomesales.co.uk,3dhomesales.com,property,general,block property/general n=48 appraised=8 deficit=0
450,basementflat.co.uk,basementflat.com,property,general,block property/general n=48 appraised=8 deficit=0
451,beefrice.co.uk,beefrice.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
452,chocolatedirect.co.uk,chocolatedirect.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
453,cornwallpropertyforsale.co.uk,cornwallpropertyforsale.com,property,general,block property/general n=48 appraised=8 deficit=0
454,countryparkhomes.co.uk,countryparkhomes.com,property,general,block property/general n=48 appraised=8 deficit=0
455,flatprices.co.uk,flatprices.com,property,general,block property/general n=48 appraised=8 deficit=0
456,helperbeans.co.uk,helperbeans.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
457,latestproperty.co.uk,latestproperty.com,property,general,block property/general n=48 appraised=8 deficit=0
458,luxuryresidentialhomes.co.uk,luxuryresidentialhomes.com,property,general,block property/general n=48 appraised=8 deficit=0
459,luxuryretirementhomes.co.uk,luxuryretirementhomes.com,property,general,block property/general n=48 appraised=8 deficit=0
460,meatrice.co.uk,meatrice.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
461,meatyrice.co.uk,meatyrice.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
462,netproperty.co.uk,netproperty.com,property,general,block property/general n=48 appraised=8 deficit=0
463,organicpizza.co.uk,organicpizza.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
464,organicwholefood.co.uk,organicwholefood.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
465,parkhomesales.co.uk,parkhomesales.com,property,general,block property/general n=48 appraised=8 deficit=0
466,parksforsale.co.uk,parksforsale.com,property,general,block property/general n=48 appraised=8 deficit=0
467,propertieslondon.co.uk,propertieslondon.com,property,general,block property/general n=48 appraised=8 deficit=0
468,residentialhousing.co.uk,residentialhousing.com,property,general,block property/general n=48 appraised=8 deficit=0
469,residentiallodge.co.uk,residentiallodge.com,property,general,block property/general n=48 appraised=8 deficit=0
470,residentialretirementhomes.co.uk,residentialretirementhomes.com,property,general,block property/general n=48 appraised=8 deficit=0
471,retirementcommunity.co.uk,retirementcommunity.com,property,general,block property/general n=48 appraised=8 deficit=0
472,retirementhomesforsale.co.uk,retirementhomesforsale.com,property,general,block property/general n=48 appraised=8 deficit=0
473,soyrocks.co.uk,soyrocks.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
474,summerhousesforsale.co.uk,summerhousesforsale.com,property,general,block property/general n=48 appraised=8 deficit=0
475,webcook.co.uk,webcook.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
476,whiskysales.co.uk,whiskysales.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
477,wholesalesnacks.co.uk,wholesalesnacks.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
478,workerbeans.co.uk,workerbeans.com,food-drink,general,block food-drink/general n=48 appraised=5 deficit=0
479,antislipdecking.co.uk,antislipdecking.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
480,compareelectricityprices.co.uk,compareelectricityprices.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
481,compareelectricitysuppliers.co.uk,compareelectricitysuppliers.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
482,compareenergyprices.co.uk,compareenergyprices.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
483,compareenergysuppliers.co.uk,compareenergysuppliers.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
484,comparegassuppliers.co.uk,comparegassuppliers.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
485,comparewaterprices.co.uk,comparewaterprices.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
486,compositegate.co.uk,compositegate.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
487,compositetimber.co.uk,compositetimber.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
488,deskplants.co.uk,deskplants.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
489,equitycalculator.co.uk,equitycalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
490,equityreleasecalculator.co.uk,equityreleasecalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
491,gardening-supplies.co.uk,gardening-supplies.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
492,gardentools.co.uk,gardentools.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
493,heritagegates.co.uk,heritagegates.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
494,jetpackreviews.co.uk,jetpackreviews.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
495,lawnmower.org.uk,lawnmower.com,home-garden,garden,block home-garden/garden n=45 appraised=12 deficit=0
496,linkchecking.co.uk,linkchecking.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
497,mathscalculator.co.uk,mathscalculator.com,tools-comparison,general,block tools-comparison/general n=45 appraised=8 deficit=0
