domain,source_file,ns_class
bleusaphir.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
bleute.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boat-training.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
boatrepairs.co.uk,nominet_domains_2026-09-03.csv,none
body3d.uk,nominet_domains_2026-09-03.csv,none
bodybeautiful.uk,nominet_domains_2026-09-03.csv,none
bodybeauty.uk,nominet_domains_2026-09-03.csv,none
bodycream.co.uk,nominet_domains_2026-09-03.csv,none
bodylotions.co.uk,nominet_domains_2026-09-03.csv,none
bodymap.uk,nominet_domains_2026-09-03.csv,none
bodymassindex.uk,nominet_domains_2026-09-03.csv,none
bodyshape.uk,nominet_domains_2026-09-03.csv,none
bodywrapping.uk,nominet_domains_2026-09-03.csv,none
boiler-installation.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boiler-part.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boiler-spare.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boiler-spares.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boilerpart.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
book-air-taxi.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
boreholesubmersibles.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
borrowing.co.uk,nominet_domains_2026-09-03.csv,none
botdesign.co.uk,nominet_domains_2026-09-03.csv,none
botdesign.uk,nominet_domains_2026-09-03.csv,none
botmaintenance.co.uk,nominet_domains_2026-09-03.csv,none
botmaintenance.uk,nominet_domains_2026-09-03.csv,none
botsales.co.uk,nominet_domains_2026-09-03.csv,none
botsales.uk,nominet_domains_2026-09-03.csv,none
boxing-tickets.com,dynadot_domains_2026-09-02.csv,other
boxingonline.uk,nominet_domains_2026-09-03.csv,none
boxsashwindow.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
boxvan.uk,nominet_domains_2026-09-03.csv,none
boysbicycles.co.uk,nominet_domains_2026-09-03.csv,none
boysbicycles.uk,nominet_domains_2026-09-03.csv,none
boysholidays.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
brandalignment.co.uk,nominet_domains_2026-09-03.csv,none
brewery-equipment.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
brick-cutting.co.uk,nominet_domains_2026-09-03.csv,none
brick-cutting.com,dynadot_domains_2026-09-02.csv,other
brickcladdingsystems.co.uk,nominet_domains_2026-09-03.csv,none
brickcladdingsystems.com,spaceship_domains_2026-09-02.csv,afternic_aftermarket
bridalplanner.co.uk,nominet_domains_2026-09-03.csv,none
bridging-loan.net,porkbun_domains_2026-09-02.csv,afternic_aftermarket
brochuredesign.com,porkbun_domains_2026-09-02.csv,afternic_aftermarket
brochuresdesign.com,dynadot_domains_2026-09-02.csv,afternic_aftermarket
