domain,registrar,category,subcategory,tld,sld_length,expiry,ns_class,dynappraisal,dynappraisal_date,appraisal_kind,appraisal_proxy_domain,live_ask_marketplace,live_ask_price,live_ask_date,afternic_min_offer,afternic_price_source,category_comps_median,keep_override,trademark_flag
antislipdecking.co.uk,nominet,home-garden,garden,co.uk,15,2028-04,,,,,,,,,,,,,
anttrack.co.uk,nominet,ai-tech,software,co.uk,8,2027-05,,,,,,,,,,,,,
anttrack.uk,nominet,ai-tech,software,uk,8,2027-05,,,,,,,,,,,,,
antywir.com,porkbun,ai-tech,software,com,7,2027-06-17,afternic,,,,,,,,10000,min_offer,,,
apartmentsloans.com,porkbun,financial,loans,com,15,2027-06-18,afternic,4238,2026-09-03,direct,,,,,10000,min_offer,1805,,
apetlon.com,porkbun,names-places,geographic,com,7,2027-07-02,afternic,,,,,,,,10000,min_offer,,,
apis.uk,nominet,ai-tech,software,uk,4,2029-10,,,,,,,,,50000,min_offer,,,
appareilsmenagers.com,dynadot,consumer-products,appliances,com,17,2026-10-27,afternic,804,2026-09-02,direct,,,,,10000,min_offer,,,
appleby.cv,porkbun,names-places,personal,cv,7,2026-10-22,afternic,,,,,,,,,,,owner-withdrawn,
applejuicers.com,dynadot,consumer-products,appliances,com,12,2027-07-23,afternic,7619,2026-09-02,direct,,,,,10000,min_offer,,,
applesorter.com,dynadot,agriculture-farming,equipment,com,11,2026-11-25,afternic,6794,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,,,
appmusic.co.uk,nominet,music,general,co.uk,8,2028-10,,,,,,,,,,,,,
appmusic.uk,nominet,music,general,uk,8,2028-10,,,,,,,,,,,,,
aprj.com,dynadot,brandable-short,4-char,com,4,2027-07-25,afternic,850,2026-09-02,direct,,afternic,25000,2026-09-03,,buy_now,,,
aproximar.com,dynadot,foreign-language,spanish,com,9,2027-09-10,afternic,3468,2026-09-02,direct,,,,,10000,min_offer,,,
arabianperfumes.co.uk,nominet,beauty-personal-care,fragrance,co.uk,15,2028-04,,,,,,,,,50000,min_offer,,,
araignees.com,porkbun,foreign-language,french,com,9,2027-10-30,other,,,,,,,,,,,,
architectural-glass.co.uk,nominet,home-garden,windows-doors,co.uk,19,2028-02,,,,,,,,,,,,,
argumentmap.co.uk,nominet,ai-tech,software,co.uk,11,2028-11,,,,,,,,,,,,,
argumentmap.uk,nominet,ai-tech,software,uk,11,2028-11,,,,,,,,,,,,,
arroseur.com,porkbun,home-garden,garden,com,8,2027-11-08,other,2728,2026-09-03,direct,,,,,,,,,
articlesubmission.co.uk,nominet,web-digital,marketing,co.uk,17,2027-01,,,,,,,,,10000,min_offer,,,
articulas.com,porkbun,foreign-language,spanish,com,9,2027-09-29,afternic,,,,,,,,10000,min_offer,,,
artisan-cheese.com,porkbun,food-drink,general,com,14,2026-11-25,afternic,,,,,,,,10000,min_offer,,,
artisan-cheeses.com,porkbun,food-drink,general,com,15,2026-11-25,afternic,,,,,,,,10000,min_offer,,,
artworker.uk,nominet,web-digital,design,uk,9,2028-09,,,,,,,,,10000,min_offer,,,
artworkers.co.uk,nominet,web-digital,design,co.uk,10,2028-09,,,,,,,,,50000,min_offer,,,
artworkers.uk,nominet,web-digital,design,uk,10,2028-09,,,,,,,,,10000,min_offer,,,
asegurandovida.com,porkbun,financial,insurance,com,14,2027-06-11,afternic,2009,2026-09-03,direct,,,,,10000,min_offer,,,
athomeworkout.com,porkbun,sports-leisure,fitness,com,13,2027-06-19,afternic,,,,,,,,10000,min_offer,,,
atmosphericmodels.com,porkbun,business-services,engineering,com,17,2028-06-08,other,,,,,,,,,,,,
attictruss.co.uk,nominet,home-garden,building-trades,co.uk,10,2028-03,,,,,,,,,,,,,
auberginen.com,porkbun,food-drink,general,com,10,2028-03-10,afternic,,,,,,,,10000,min_offer,,,
audiobrochure.co.uk,nominet,packaging-print,print-services,co.uk,13,2028-09,,,,,,,,,,,,,
